pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
-50,x,0,0,0,0,,,,,6.548077166022267,7.54436650002026,7.54436650002026,7.54436650002026,7.54436650002026,7.560836625023512,8.544117416022345,8.544117416022345,x,1,1.019728083978407,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
150,v,0,1,1,1,,,,,9.627636208024342,10.611599916010164,10.611599916010164,10.611599916010164,10.611599916010164,10.627426166000078,11.62717658301699,11.62717658301699,v,1,0.7535837500181515,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
50,c,0,2,2,2,,,,,12.410839999996824,13.394552041019779,13.394552041019779,13.394552041019779,13.394552041019779,13.411019999999553,14.41105975001119,14.41105975001119,c,1,0.7598258750222158,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
-150,z,0,3,3,3,,,,,15.193707375001395,16.19427854102105,16.19427854102105,16.19427854102105,16.19427854102105,16.19427854102105,17.194260791002307,17.194260791002307,z,1,0.4009474170161411,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
-50,x,1,0,4,0,,,,,17.627483125019353,18.627786124998238,18.627786124998238,18.627786124998238,18.627786124998238,18.627786124998238,19.610978666023584,19.610978666023584,x,1,0.26814883400220424,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
150,v,1,1,5,1,,,,,19.91173950000666,20.89455970801646,20.89455970801646,20.89455970801646,20.89455970801646,20.912036791007267,21.89433954100241,21.89433954100241,v,1,0.09044283302500844,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
50,c,1,2,6,2,,,,,22.011117415997433,23.01200141600566,23.01200141600566,23.01200141600566,23.01200141600566,23.01200141600566,23.99530920802499,23.99530920802499,c,1,0.26699491700856015,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
-150,z,1,3,7,3,,,,,24.29438466602005,25.294394958007615,25.294394958007615,25.294394958007615,25.294394958007615,25.294394958007615,26.27939854102442,26.27939854102442,z,1,0.15259820900973864,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
-50,x,2,0,8,0,,,,,26.461094250000315,27.461415249999845,27.461415249999845,27.461415249999845,27.461415249999845,27.461415249999845,28.461006708006607,28.461006708006607,x,1,0.30730275000678375,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
150,v,2,1,9,1,,,,,28.7944585000223,29.778287499997532,29.778287499997532,29.778287499997532,29.778287499997532,29.794638666004175,30.777986916014925,30.777986916014925,v,1,0.25673237501177937,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
