staircase.thisTrialN,staircase.stepSize,staircase.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate
0,2,10,6.334047875,6.872450042,6.872450042,6.891108208,7.173275083,left,-10,1,1,4.194792625,607473,1,2023-09-01_11h35.41.012,Adaptive staircase,2023.1.3,60.04922523
1,2,8,11.09749038,11.58773908,11.58773908,11.60649246,11.88946362,left,-8,1,1,0.692793666,607473,1,2023-09-01_11h35.41.012,Adaptive staircase,2023.1.3,60.04922523
2,2,6,12.30455929,12.78778279,12.78778279,12.8055155,13.08863358,right,6,1,1,0.955453708,607473,1,2023-09-01_11h35.41.012,Adaptive staircase,2023.1.3,60.04922523
3,2,4,13.77249454,14.25563983,14.25563983,14.27227279,14.55557225,left,-4,1,1,0.868376,607473,1,2023-09-01_11h35.41.012,Adaptive staircase,2023.1.3,60.04922523
4,2,2,15.15592988,15.63904754,15.63904754,15.6556845,15.93892088,left,-2,1,1,1.240080166,607473,1,2023-09-01_11h35.41.012,Adaptive staircase,2023.1.3,60.04922523
5,2,1,16.90576925,17.38909942,17.38909942,17.40579833,17.68904862,left,-1,1,1,1.400473666,607473,1,2023-09-01_11h35.41.012,Adaptive staircase,2023.1.3,60.04922523
6,2,1,18.82166221,19.30489779,19.30489779,19.32120588,19.60552892,left,-1,1,1,1.041766541,607473,1,2023-09-01_11h35.41.012,Adaptive staircase,2023.1.3,60.04922523
7,2,1,20.37179871,20.87253875,20.87253875,20.87253875,21.17271375,right,1,1,1,0.716673292,607473,1,2023-09-01_11h35.41.012,Adaptive staircase,2023.1.3,60.04922523
8,2,1,21.62361467,22.10501479,22.10501479,22.13935683,22.40574983,left,-1,1,1,0.887534833,607473,1,2023-09-01_11h35.41.012,Adaptive staircase,2023.1.3,60.04922523
9,2,1,23.02203971,23.50594521,23.50594521,23.52430488,23.80586925,left,-1,1,1,0.659194416,607473,1,2023-09-01_11h35.41.012,Adaptive staircase,2023.1.3,60.04922523
10,2,1,24.18953588,24.67285892,24.67285892,24.68925042,24.97261767,left,-1,1,1,0.542362249,607473,1,2023-09-01_11h35.41.012,Adaptive staircase,2023.1.3,60.04922523
11,2,1,25.23952242,25.72279475,25.72279475,25.739454,26.02276517,right,1,1,1,0.549234583,607473,1,2023-09-01_11h35.41.012,Adaptive staircase,2023.1.3,60.04922523
12,2,1,26.28948696,26.77283679,26.77283679,26.78932237,27.07264621,left,-1,1,1,0.77306375,607473,1,2023-09-01_11h35.41.012,Adaptive staircase,2023.1.3,60.04922523
13,2,1,27.57286333,28.05613046,28.05613046,28.0728245,28.37288329,right,1,1,1,0.810155083,607473,1,2023-09-01_11h35.41.012,Adaptive staircase,2023.1.3,60.04922523
14,2,1,28.89011546,29.37147375,29.37147375,29.40629683,29.67280221,right,1,1,1,0.638509416,607473,1,2023-09-01_11h35.41.012,Adaptive staircase,2023.1.3,60.04922523
15,2,1,30.03843671,30.53931125,30.53931125,30.53931125,30.83810012,left,-1,1,1,0.921953041,607473,1,2023-09-01_11h35.41.012,Adaptive staircase,2023.1.3,60.04922523
16,2,1,31.48891238,31.9720485,31.9720485,31.98828817,32.27303904,right,1,1,1,0.616315125,607473,1,2023-09-01_11h35.41.012,Adaptive staircase,2023.1.3,60.04922523
17,2,1,32.60505496,33.10655638,33.10655638,33.10655638,33.40626483,left,-1,1,1,0.615989291,607473,1,2023-09-01_11h35.41.012,Adaptive staircase,2023.1.3,60.04922523
18,2,1,33.73974783,34.22293475,34.22293475,34.23961021,34.52294383,left,-1,1,1,0.791377541,607473,1,2023-09-01_11h35.41.012,Adaptive staircase,2023.1.3,60.04922523
19,2,1,35.04083225,35.52308258,35.52308258,35.55633279,35.82279708,right,1,1,1,0.538156167,607473,1,2023-09-01_11h35.41.012,Adaptive staircase,2023.1.3,60.04922523
20,2,1,36.08969904,36.57275983,36.57275983,36.58979513,36.87289125,left,-1,1,1,0.71882,607473,1,2023-09-01_11h35.41.012,Adaptive staircase,2023.1.3,60.04922523
21,2,1,37.32308925,37.80644104,37.80644104,37.82300321,38.10820538,right,1,1,1,0.542532625,607473,1,2023-09-01_11h35.41.012,Adaptive staircase,2023.1.3,60.04922523
22,2,1,38.37397967,38.85595471,38.85595471,38.88962258,39.15588842,left,-1,1,1,0.727848708,607473,1,2023-09-01_11h35.41.012,Adaptive staircase,2023.1.3,60.04922523
23,2,1,39.60711429,40.08916829,40.08916829,40.12204392,40.38815679,left,-1,1,1,0.96905725,607473,1,2023-09-01_11h35.41.012,Adaptive staircase,2023.1.3,60.04922523
